mrc_id,make
1,Chevrolet
2,Kia
3,Mercedes-Benz
4,Honda
5,Ford
6,Hyundai
7,Chrysler
8,Scion
9,Dodge
10,Toyota
11,Volkswagen
12,Nissan
13,BMW
14,Buick
15,Mitsubishi
16,Cadillac
17,Infiniti
18,Audi
19,GMC
20,Jaguar
21,Jeep
22,Saturn
23,Subaru
24,Lexus
25,Pontiac
26,Lincoln
27,Mazda
28,HUMMER
29,Volvo
30,smart
31,Ram
32,Saab
33,FIAT
34,Land Rover
35,Porsche
36,Bentley
37,Suzuki
38,Acura
39,MINI
40,Mercury
41,Oldsmobile
42,Lamborghini
43,Tesla
44,Maserati
45,Aston Martin
46,Lotus
47,Isuzu
48,Rolls-Royce
49,Ferrari
50,Plymouth
51,Geo
52,Fisker
